game_id,created_by,home_team_id,away_team_id,home_score,away_score
1760,,21,20,4,0
1761,,21,20,8,7
1762,,21,20,2,7
1833,,22,20,7,6
1834,,22,20,1,6
1835,,22,20,1,3
1836,,22,20,5,3
1926,,23,20,3,4
1927,,23,20,3,4
1928,,23,20,6,10
1965,,24,20,13,1
1966,,24,20,8,0
1967,,24,20,2,4
2037,,25,20,6,5
2038,,25,20,4,5
2039,,25,20,1,4
2113,,26,20,1,5
2114,,26,20,4,8
2115,,26,20,3,4
2172,,26,20,2,1
2173,,26,20,0,9
2174,,26,20,5,1
2178,,26,20,5,1
2179,,26,20,6,3
2180,,26,20,1,6
2214,,27,20,7,10
2215,,27,20,5,4
2216,,27,20,9,8
2239,,27,20,2,3
2240,,27,20,4,5
2241,,27,20,2,0
2242,,27,20,2,4
2259,,27,20,5,4
2260,,27,20,2,9
